transaction_id,session_id,user_id,timestamp,amount,recipient_id,recipient_is_new,hour_of_day,day_of_week
T100042,S100042,U100000,2026-08-13 15:40:18.014660,1593.3874609637403,R330893,False,15,3
T100043,S100043,U100000,2026-08-13 17:56:31.262203,993.7314791258307,R330893,False,17,3
T100044,S100044,U100000,2026-08-14 05:11:33.175764,1367.0448085434944,R330893,False,5,4
T100045,S100045,U100000,2026-08-17 13:38:45.920452,3867.3431762802384,R793995,False,13,0
T100046,S100046,U100000,2026-08-18 12:20:14.321754,1233.2528791193745,R220097,True,12,1
T100047,S100047,U100000,2026-08-18 16:52:24.084129,2574.423914327053,R330893,False,16,1
T100048,S100048,U100000,2026-08-20 16:37:08.357363,1282.9568395682224,R793995,False,16,3
T100049,S100049,U100000,2026-08-22 17:26:03.830187,890.6352468228127,R330893,False,17,5
T100050,S100050,U100000,2026-08-22 17:41:14.460281,1087.967875623315,R249896,False,17,5
T100051,S100051,U100000,2026-08-23 07:41:25.115029,1734.8482300554926,R330893,False,7,6
T100052,S100052,U100000,2026-08-25 14:32:12.775291,1265.316235859391,R793995,False,14,1
T100053,S100053,U100000,2026-08-28 03:51:13.725829,1909.0512437130724,R249896,False,3,4
T100054,S100054,U100000,2026-08-28 11:48:39.194975,1186.4599560935555,R793995,False,11,4
T100055,S100055,U100001,2026-06-06 23:05:51.388454,11256.198216948706,R813360,False,23,5
T100056,S100056,U100001,2026-06-10 18:46:09.010217,9753.823525818194,R194523,False,18,2
T100057,S100057,U100001,2026-06-14 08:11:48.595570,35019.77516066052,R194523,False,8,6
T100058,S100058,U100001,2026-06-14 12:52:50.303286,14940.912046080959,R624547,False,12,6
T100059,S100059,U100001,2026-06-18 06:18:46.941126,19502.098966968188,R813360,False,6,3
T100060,S100060,U100001,2026-06-20 00:56:43.626689,10774.903942946745,R194523,False,0,5
T100061,S100061,U100001,2026-06-20 12:00:52.235783,15356.589962193884,R907637,True,12,5
T100062,S100062,U100001,2026-06-20 22:06:02.879274,17050.453580390527,R813360,False,22,5
T100063,S100063,U100001,2026-06-25 21:36:31.450116,13486.655160036367,R624547,False,21,3
T100064,S100064,U100001,2026-06-28 21:44:59.518664,29133.773801825882,R194523,False,21,6
T100065,S100065,U100001,2026-06-30 03:19:07.540842,31041.313847766116,R194523,False,3,1
T100066,S100066,U100001,2026-07-01 23:55:14.526348,10015.963848345773,R624547,False,23,2
T100067,S100067,U100001,2026-07-03 04:35:08.081936,10168.81908400708,R813360,False,4,4
T100068,S100068,U100001,2026-07-03 20:27:03.414100,18885.02323758965,R624547,False,20,4
T100069,S100069,U100001,2026-07-05 02:49:08.147736,20198.834958839863,R624547,False,2,6
T100070,S100070,U100001,2026-07-05 10:56:16.410501,21908.84484444822,R194523,False,10,6
T100071,S100071,U100001,2026-07-06 09:39:13.434022,13546.570963622098,R194523,False,9,0
T100072,S100072,U100001,2026-07-10 16:18:05.636720,17958.914862245747,R194523,False,16,4
T100073,S100073,U100001,2026-07-15 03:17:41.765875,13746.049829907211,R813360,False,3,2
T100074,S100074,U100001,2026-07-17 07:29:11.764123,6971.470576031922,R813360,False,7,4
T100075,S100075,U100001,2026-07-17 20:38:17.332318,27437.163438609223,R624547,False,20,4
T100076,S100076,U100001,2026-07-23 16:02:23.260949,11617.784255049728,R624547,False,16,3
T100077,S100077,U100001,2026-07-24 13:01:29.880045,15193.018721648681,R813360,False,13,4
T100078,S100078,U100001,2026-07-28 07:19:30.283402,13931.149466896593,R813360,False,7,1
T100079,S100079,U100001,2026-07-28 07:50:58.096972,17562.544304736315,R624547,False,7,1
T100080,S100080,U100001,2026-07-30 06:28:53.754371,30113.99039528322,R813360,False,6,3
T100081,S100081,U100001,2026-07-30 10:14:38.034232,17081.77418296957,R194523,False,10,3
T100082,S100082,U100001,2026-08-01 03:08:00.913678,11703.660608674849,R624547,False,3,5
T100083,S100083,U100001,2026-08-03 05:35:23.152142,22505.209504274382,R194523,False,5,0
T100084,S100084,U100001,2026-08-03 17:41:09.189056,9876.257957427944,R813360,False,17,0
T100085,S100085,U100001,2026-08-09 04:35:17.534249,16870.385867944537,R624547,False,4,6
T100086,S100086,U100001,2026-08-10 09:53:13.497392,26371.68025984104,R194523,False,9,0
T100087,S100087,U100001,2026-08-11 06:49:38.839288,19097.87635952765,R624547,False,6,1
T100088,S100088,U100001,2026-08-14 03:56:29.031133,12628.510859294707,R813360,False,3,4
T100089,S100089,U100001,2026-08-14 15:14:29.996048,11796.864513348608,R624547,False,15,4
T100090,S100090,U100001,2026-08-16 09:03:00.326744,24983.17269252773,R194523,False,9,6
T100091,S100091,U100001,2026-08-16 18:04:39.908466,12713.256925029153,R624547,False,18,6
T100092,S100092,U100001,2026-08-18 23:28:00.868571,10861.841420486087,R719877,True,23,1
T100093,S100093,U100001,2026-08-19 00:55:55.742280,20178.509207689498,R194523,False,0,2
T100094,S100094,U100001,2026-08-19 12:15:55.428857,14795.283909003441,R755271,True,12,2
T100095,S100095,U100001,2026-08-20 04:50:07.925204,14080.239341611805,R624547,False,4,3
T100096,S100096,U100001,2026-08-25 15:59:24.618969,8163.12306165227,R359738,True,15,1
T100097,S100097,U100002,2026-06-03 11:44:53.291352,9679.320773550458,R301114,False,11,2
T100098,S100098,U100002,2026-06-05 02:21:10.771583,6683.47614725221,R301114,False,2,4
T100099,S100099,U100002,2026-06-07 15:53:30.748729,7915.258286709156,R594557,False,15,6
T100100,S100100,U100002,2026-06-12 18:21:49.785889,5039.155247015429,R547671,False,18,4
T100101,S100101,U100002,2026-06-13 12:48:54.019830,8887.747555135678,R301114,False,12,5
T100102,S100102,U100002,2026-06-14 17:06:57.953161,8756.146192243565,R547671,False,17,6
T100103,S100103,U100002,2026-06-15 13:51:00.924147,7807.011026413058,R301114,False,13,0
T100104,S100104,U100002,2026-06-16 04:02:34.978660,2413.5575057925207,R301114,False,4,1
T100105,S100105,U100002,2026-06-21 12:05:09.397786,5737.437251346081,R547671,False,12,6
T100106,S100106,U100002,2026-06-22 08:13:19.403299,7680.369431307186,R594557,False,8,0
T100107,S100107,U100002,2026-06-24 00:26:47.947178,9665.108391602631,R594557,False,0,2
T100108,S100108,U100002,2026-06-25 00:16:03.858001,11907.778799133019,R594557,False,0,3
T100109,S100109,U100002,2026-06-26 05:20:35.156695,8852.189650494674,R594557,False,5,4
T100110,S100110,U100002,2026-06-26 19:46:32.237464,5826.18020125031,R594557,False,19,4
T100111,S100111,U100002,2026-06-28 21:10:38.295671,10986.373332363459,R301114,False,21,6
T100112,S100112,U100002,2026-06-30 11:48:12.897960,7067.966081534024,R301114,False,11,1
T100113,S100113,U100002,2026-06-30 19:18:40.270277,2227.4367084785836,R301114,False,19,1
T100114,S100114,U100002,2026-07-01 13:00:53.191241,13835.32302102664,R547671,False,13,2
T100115,S100115,U100002,2026-07-01 13:13:45.440274,7511.586646065617,R594557,False,13,2
T100116,S100116,U100002,2026-07-03 02:32:48.256016,4445.351338174128,R594557,False,2,4
T100117,S100117,U100002,2026-07-03 03:19:56.230523,11963.090148901594,R594557,False,3,4
T100118,S100118,U100002,2026-07-03 16:38:10.357016,4996.383495101932,R301114,False,16,4
T100119,S100119,U100002,2026-07-04 00:56:14.337533,5695.144065974263,R408064,True,0,5
T100120,S100120,U100002,2026-07-04 18:59:33.209239,4643.062696263202,R547671,False,18,5
T100121,S100121,U100002,2026-07-05 15:00:04.757121,9376.883943727618,R301114,False,15,6
T100122,S100122,U100002,2026-07-07 01:05:23.173557,10422.303147169814,R547671,False,1,1
T100123,S100123,U100002,2026-07-07 02:56:33.126931,10236.382444594507,R301114,False,2,1
T100124,S100124,U100002,2026-07-07 06:40:01.816571,10173.051303662236,R477058,True,6,1
T100125,S100125,U100002,2026-07-08 05:50:06.684765,7342.01347515226,R547671,False,5,2
T100126,S100126,U100002,2026-07-08 07:52:32.003903,12625.33491551143,R301114,False,7,2
T100127,S100127,U100002,2026-07-09 07:08:51.801056,14592.472166463336,R301114,False,7,3
T100128,S100128,U100002,2026-07-10 02:37:01.048546,12085.372522165326,R301114,False,2,4
T100129,S100129,U100002,2026-07-10 07:25:00.061551,14693.45399259407,R299379,True,7,4
T100130,S100130,U100002,2026-07-10 14:59:58.584110,7676.254104680963,R594557,False,14,4
T100131,S100131,U100002,2026-07-14 23:52:04.450799,8906.961898012856,R301114,False,23,1
T100132,S100132,U100002,2026-07-15 11:13:38.926619,6902.844288589347,R547671,False,11,2
T100133,S100133,U100002,2026-07-17 05:43:45.196678,6399.078344943058,R547671,False,5,4
T100134,S100134,U100002,2026-07-18 14:49:00.264255,12799.10379645544,R547671,False,14,5
T100135,S100135,U100002,2026-07-18 19:55:37.166476,8593.254019388838,R594557,False,19,5
T100136,S100136,U100002,2026-07-19 21:26:29.396098,9306.924618024546,R594557,False,21,6
T100137,S100137,U100002,2026-07-23 07:31:36.783463,3425.2381245879556,R547671,False,7,3
T100138,S100138,U100002,2026-07-24 09:28:22.627053,7417.066321717709,R594557,False,9,4
T100139,S100139,U100002,2026-07-27 07:55:42.795198,4545.620880859393,R594557,False,7,0
T100140,S100140,U100002,2026-07-29 14:34:15.281513,4436.498756483702,R301114,False,14,2
T100141,S100141,U100002,2026-07-30 00:41:59.443590,13327.9937791788,R301114,False,0,3
T100142,S100142,U100002,2026-07-31 13:12:51.316801,4536.972370720893,R594557,False,13,4
T100143,S100143,U100002,2026-08-01 23:54:34.859533,5753.951491357227,R410170,True,23,5
T100144,S100144,U100002,2026-08-05 12:36:10.665814,5528.755264176094,R301114,False,12,2
T100145,S100145,U100002,2026-08-09 22:07:34.947146,7293.7656565109455,R594557,False,22,6
T100146,S100146,U100002,2026-08-12 05:25:50.488842,5296.753157146117,R547671,False,5,2
T100147,S100147,U100002,2026-08-13 00:55:58.599332,6442.552474634943,R547671,False,0,3
T100148,S100148,U100002,2026-08-28 00:26:12.652595,4907.878018831237,R594557,False,0,4
T100149,S100149,U100002,2026-08-29 06:22:01.953651,10084.914927622944,R547671,False,6,5
T100150,S100150,U100002,2026-08-29 15:59:17.790790,9994.27517559686,R547671,False,15,5
T100151,S100151,U100003,2026-06-04 02:59:24.572516,32363.251280216435,R260949,True,2,3
T100152,S100152,U100003,2026-06-04 08:02:55.333116,13649.042449055885,R610887,True,8,3
T100153,S100153,U100003,2026-06-05 04:25:31.970783,8027.250358809394,R415160,False,4,4
T100154,S100154,U100003,2026-06-05 07:19:34.280432,7984.389886995245,R131912,False,7,4
T100155,S100155,U100003,2026-06-08 02:09:31.474209,11456.387384894602,R643137,False,2,0
T100156,S100156,U100003,2026-06-10 22:26:14.038931,3863.4526735141167,R415160,False,22,2
T100157,S100157,U100003,2026-06-11 18:20:21.274172,4261.093757006225,R643137,False,18,3
T100158,S100158,U100003,2026-06-12 03:46:08.919053,9053.39032636507,R415160,False,3,4
T100159,S100159,U100003,2026-06-12 19:25:40.071401,10186.058428594151,R131912,False,19,4
T100160,S100160,U100003,2026-06-17 03:46:37.711551,4210.482329454249,R749743,True,3,2
T100161,S100161,U100003,2026-06-18 07:10:14.428579,12223.231547711961,R257576,False,7,3
T100162,S100162,U100003,2026-06-20 12:19:04.196878,20605.64551476409,R809166,True,12,5
T100163,S100163,U100003,2026-06-21 13:47:14.577456,7523.47317884165,R415160,False,13,6
T100164,S100164,U100003,2026-06-21 18:49:08.873782,4522.336406419553,R415160,False,18,6
T100165,S100165,U100003,2026-06-22 22:44:40.963927,10051.248738568132,R643137,False,22,0
T100166,S100166,U100003,2026-06-26 06:08:09.218696,11890.101555059027,R257576,False,6,4
T100167,S100167,U100003,2026-06-26 12:51:55.978676,12057.074070417106,R131912,False,12,4
T100168,S100168,U100003,2026-06-28 02:05:20.540801,8239.331375814689,R131912,False,2,6
T100169,S100169,U100003,2026-07-02 17:52:21.648189,9281.940578566806,R257576,False,17,3
T100170,S100170,U100003,2026-07-03 09:41:19.630660,10789.399924474408,R415160,False,9,4
T100171,S100171,U100003,2026-07-04 08:46:32.055548,3426.8186969675558,R257576,False,8,5
T100172,S100172,U100003,2026-07-05 08:07:46.111829,9986.213292606233,R257576,False,8,6
T100173,S100173,U100003,2026-07-06 21:46:06.739027,12831.573263638027,R257576,False,21,0
T100174,S100174,U100003,2026-07-08 22:42:59.449457,11824.313564722708,R159072,True,22,2
T100175,S100175,U100003,2026-07-09 18:29:21.942428,9482.65610904699,R415160,False,18,3
T100176,S100176,U100003,2026-07-09 22:44:04.696223,15232.026771876852,R415160,False,22,3
T100177,S100177,U100003,2026-07-12 17:39:36.625015,14620.393408377076,R131912,False,17,6
T100178,S100178,U100003,2026-07-13 14:07:18.837332,7421.95899913937,R257576,False,14,0
T100179,S100179,U100003,2026-07-13 20:00:44.742165,4355.632453399077,R257576,False,20,0
T100180,S100180,U100003,2026-07-14 23:31:25.081756,20140.052486992274,R643137,False,23,1
T100181,S100181,U100003,2026-07-15 13:09:23.519947,8391.45832336035,R131912,False,13,2
T100182,S100182,U100003,2026-07-19 06:23:50.346673,5945.069623874823,R643137,False,6,6
T100183,S100183,U100003,2026-07-20 01:59:53.930314,5211.602365442819,R531742,True,1,0
T100184,S100184,U100003,2026-07-21 04:19:12.696568,17471.903185845684,R131912,False,4,1
T100185,S100185,U100003,2026-07-23 05:55:23.265749,12762.834143843298,R505946,True,5,3
T100186,S100186,U100003,2026-07-25 20:04:19.706053,13664.608828181337,R257576,False,20,5
T100187,S100187,U100003,2026-07-26 01:32:17.670040,13706.547794634816,R643137,False,1,6
T100188,S100188,U100003,2026-07-28 04:07:07.487785,12293.40455861246,R257576,False,4,1
T100189,S100189,U100003,2026-07-30 11:19:22.715648,7573.04463910275,R415160,False,11,3
T100190,S100190,U100003,2026-07-31 17:58:22.021809,15131.152912195908,R257576,False,17,4
T100191,S100191,U100003,2026-07-31 20:06:34.252928,8671.30908030569,R257576,False,20,4
T100192,S100192,U100003,2026-08-01 03:14:57.267167,13423.36994884366,R643137,False,3,5
T100193,S100193,U100003,2026-08-01 21:33:16.708964,9185.41987155549,R415160,False,21,5
T100194,S100194,U100003,2026-08-05 02:15:48.848321,11298.547304237673,R643137,False,2,2
T100195,S100195,U100003,2026-08-08 13:20:56.932983,20719.253965143518,R643137,False,13,5
T100196,S100196,U100003,2026-08-11 13:45:35.072091,10542.363010232473,R412766,True,13,1
T100197,S100197,U100003,2026-08-13 01:36:06.931288,5817.441267005833,R643137,False,1,3
T100198,S100198,U100003,2026-08-13 14:09:25.052527,12505.856603953162,R268338,True,14,3
T100199,S100199,U100003,2026-08-13 14:20:50.702690,5830.696484150285,R415160,False,14,3
T100200,S100200,U100003,2026-08-17 17:29:19.533811,10752.316576416271,R643137,False,17,0
T100201,S100201,U100003,2026-08-18 07:27:21.804897,45108.3695871049,R257576,False,7,1
T100202,S100202,U100003,2026-08-23 16:02:07.952195,8828.724403902937,R131912,False,16,6
T100203,S100203,U100003,2026-08-24 04:05:48.449843,16099.325348468277,R643137,False,4,0
T100204,S100204,U100003,2026-08-24 20:34:32.301216,8427.511800739358,R257576,False,20,0
T100205,S100205,U100003,2026-08-26 00:15:31.058350,14143.336522323913,R131912,False,0,2
T100206,S100206,U100004,2026-06-01 22:03:36.621114,1541.5451147902063,R275529,False,22,0
T100207,S100207,U100004,2026-06-05 23:01:38.486582,848.4328570705674,R432685,False,23,4
T100208,S100208,U100004,2026-06-07 16:02:53.053006,1136.777166977259,R808281,False,16,6
T100209,S100209,U100004,2026-06-08 22:23:21.481785,1240.5625223976704,R275529,False,22,0
T100210,S100210,U100004,2026-06-14 13:32:37.331925,1186.9515297832409,R808281,False,13,6
T100211,S100211,U100004,2026-06-15 15:54:02.165048,2091.809483172926,R432685,False,15,0
T100212,S100212,U100004,2026-06-16 00:24:45.396751,1410.5381524366353,R298935,True,0,1
T100213,S100213,U100004,2026-06-17 19:37:51.353926,1142.9141583218825,R275529,False,19,2
T100214,S100214,U100004,2026-06-20 09:12:12.381617,3065.7103372940865,R272886,True,9,5
T100215,S100215,U100004,2026-06-21 05:08:49.468914,964.446963573365,R432685,False,5,6
T100216,S100216,U100004,2026-06-21 12:19:11.019276,1120.1732429575131,R275529,False,12,6
T100217,S100217,U100004,2026-06-24 07:09:46.837486,1479.280694667999,R432685,False,7,2
T100218,S100218,U100004,2026-06-26 22:10:44.437101,1496.0762939369395,R432685,False,22,4
T100219,S100219,U100004,2026-07-02 08:59:36.952356,1191.7744482381206,R275529,False,8,3
T100220,S100220,U100004,2026-07-03 20:18:37.269057,2583.0544347407836,R432685,False,20,4
T100221,S100221,U100004,2026-07-04 20:20:03.212770,1007.4748718725771,R275529,False,20,5
T100222,S100222,U100004,2026-07-06 05:42:58.710045,1591.6632543075991,R275529,False,5,0
T100223,S100223,U100004,2026-07-07 09:49:56.239972,1899.5804207599197,R432685,False,9,1
T100224,S100224,U100004,2026-07-07 20:21:29.875767,1344.9603449000479,R149620,True,20,1
T100225,S100225,U100004,2026-07-07 23:54:32.706006,1448.3131533905037,R808281,False,23,1
T100226,S100226,U100004,2026-07-09 03:52:29.160759,1312.1274294307123,R808281,False,3,3
T100227,S100227,U100004,2026-07-09 05:27:40.346354,1113.8589738193239,R432685,False,5,3
T100228,S100228,U100004,2026-07-10 07:51:08.107014,1373.300454142232,R808281,False,7,4
T100229,S100229,U100004,2026-07-10 13:48:42.132544,1576.2134343096272,R610584,True,13,4
T100230,S100230,U100004,2026-07-11 15:33:51.609814,1527.3638489923724,R275529,False,15,5
T100231,S100231,U100004,2026-07-11 23:52:30.124454,443.927311066912,R808281,False,23,5
T100232,S100232,U100004,2026-07-15 08:58:36.819881,1628.8865865419657,R432685,False,8,2
T100233,S100233,U100004,2026-07-15 16:48:58.336600,1211.058059309995,R808281,False,16,2
T100234,S100234,U100004,2026-07-18 22:49:53.498196,1883.1994745868633,R275529,False,22,5
T100235,S100235,U100004,2026-07-19 08:26:56.574020,1533.307164647389,R808281,False,8,6
T100236,S100236,U100004,2026-07-20 22:34:50.842258,1579.8090315600484,R808281,False,22,0
T100237,S100237,U100004,2026-07-24 19:13:20.889845,1468.7344395911157,R275529,False,19,4
T100238,S100238,U100004,2026-07-26 02:11:36.831583,2650.8585169491894,R808281,False,2,6
T100239,S100239,U100004,2026-07-28 05:07:54.789103,2408.8737601595612,R808281,False,5,1
T100240,S100240,U100004,2026-08-02 08:00:04.982029,696.6858216679119,R275529,False,8,6
T100241,S100241,U100004,2026-08-03 14:28:54.800050,1340.6979311121993,R432685,False,14,0
T100242,S100242,U100004,2026-08-05 07:03:17.878859,1926.4816209561384,R903273,True,7,2
T100243,S100243,U100004,2026-08-07 00:10:58.210649,926.2049921920382,R432685,False,0,4
T100244,S100244,U100004,2026-08-10 13:20:14.433460,1365.7007400876253,R275529,False,13,0
T100245,S100245,U100004,2026-08-10 23:10:03.747034,1268.6287935056912,R808281,False,23,0
T100246,S100246,U100004,2026-08-11 12:32:11.214824,1078.5701582578042,R275529,False,12,1
T100247,S100247,U100004,2026-08-12 23:30:46.106186,1545.9545814027485,R808281,False,23,2
T100248,S100248,U100004,2026-08-20 10:10:16.424408,1250.1481372356195,R432685,False,10,3
T100249,S100249,U100004,2026-08-20 18:37:37.582474,2196.3016225586907,R808281,False,18,3
T100250,S100250,U100004,2026-08-20 23:07:42.557538,1126.5077336800061,R432685,False,23,3
T100251,S100251,U100004,2026-08-24 23:18:22.619156,1313.477269529388,R432685,False,23,0
T100252,S100252,U100004,2026-08-27 21:56:18.174626,387.9345776104878,R432685,False,21,3
T100253,S100253,U100004,2026-08-28 21:56:45.579809,724.0811479792417,R485803,True,21,4
T100254,S100254,U100004,2026-08-29 22:44:49.459506,924.7276507007621,R275529,False,22,5
T100255,S100255,U100005,2026-06-05 13:03:12.261316,4362.445296258954,R296012,True,13,4
T100256,S100256,U100005,2026-06-05 13:14:46.918537,8257.839462770884,R135664,False,13,4
T100257,S100257,U100005,2026-06-10 11:47:09.810543,13684.789784550823,R135664,False,11,2
T100258,S100258,U100005,2026-06-11 19:17:09.690790,8283.561144594329,R135664,False,19,3
T100259,S100259,U100005,2026-06-13 01:30:27.945320,9259.783439535398,R135664,False,1,5
T100260,S100260,U100005,2026-06-13 16:15:37.909502,16996.660751912856,R135664,False,16,5
T100261,S100261,U100005,2026-06-16 06:20:13.999955,10641.033970972981,R135664,False,6,1
T100262,S100262,U100005,2026-06-16 06:36:04.222516,6931.344064925836,R135664,False,6,1
T100263,S100263,U100005,2026-06-17 14:43:21.781304,20472.155407583752,R135664,False,14,2
T100264,S100264,U100005,2026-06-18 00:48:24.899454,9218.19506413179,R135664,False,0,3
T100265,S100265,U100005,2026-06-20 22:39:34.844851,21190.37167161409,R135664,False,22,5
T100266,S100266,U100005,2026-06-21 15:37:27.815773,14204.05429360686,R135664,False,15,6
T100267,S100267,U100005,2026-06-24 16:00:04.572877,16354.763003934795,R135664,False,16,2
T100268,S100268,U100005,2026-06-25 01:15:30.358331,17037.05347748944,R135664,False,1,3
T100269,S100269,U100005,2026-06-26 13:50:00.164619,8317.156431706053,R232034,True,13,4
T100270,S100270,U100005,2026-06-29 20:55:57.139099,18510.1523658913,R135664,False,20,0
T100271,S100271,U100005,2026-06-30 12:11:35.085701,13970.296162451106,R676685,True,12,1
T100272,S100272,U100005,2026-07-03 06:59:05.502623,9536.532278291186,R135664,False,6,4
T100273,S100273,U100005,2026-07-03 11:24:37.700592,7635.434727354296,R135664,False,11,4
T100274,S100274,U100005,2026-07-03 19:51:20.241788,13903.776607824391,R135664,False,19,4
T100275,S100275,U100005,2026-07-04 05:33:17.011988,12697.664849256074,R135664,False,5,5
T100276,S100276,U100005,2026-07-06 18:43:37.386287,8122.317713157421,R135664,False,18,0
T100277,S100277,U100005,2026-07-15 14:29:59.888385,4065.73763500462,R679747,True,14,2
T100278,S100278,U100005,2026-07-15 19:13:11.303424,6789.876906759179,R135664,False,19,2
T100279,S100279,U100005,2026-07-18 22:56:09.824091,8819.825729654422,R135664,False,22,5
T100280,S100280,U100005,2026-07-20 18:13:17.870673,8252.134156582577,R135664,False,18,0
T100281,S100281,U100005,2026-07-21 02:50:52.109727,6535.5751967758915,R135664,False,2,1
T100282,S100282,U100005,2026-07-22 09:49:36.694121,14734.832895162735,R135664,False,9,2
T100283,S100283,U100005,2026-07-24 13:35:37.560965,8690.37911817223,R135664,False,13,4
T100284,S100284,U100005,2026-07-24 13:44:25.791823,11873.879707608325,R798327,True,13,4
T100285,S100285,U100005,2026-07-25 12:44:04.779087,9021.637972980978,R135664,False,12,5
T100286,S100286,U100005,2026-07-26 08:22:54.297346,17899.97435537389,R135664,False,8,6
T100287,S100287,U100005,2026-07-28 06:34:03.017332,10680.551336661883,R135664,False,6,1
T100288,S100288,U100005,2026-07-29 10:25:30.106224,15019.926189116706,R135664,False,10,2
T100289,S100289,U100005,2026-07-30 06:39:47.841021,12541.367846288646,R135664,False,6,3
T100290,S100290,U100005,2026-07-30 10:54:36.379075,12824.307509378414,R135664,False,10,3
T100291,S100291,U100005,2026-08-06 14:19:27.425882,24087.19450358077,R135664,False,14,3
T100292,S100292,U100005,2026-08-08 10:20:42.229345,29178.045367213977,R135664,False,10,5
T100293,S100293,U100005,2026-08-14 08:20:36.052216,18267.387263113058,R135664,False,8,4
T100294,S100294,U100005,2026-08-14 22:59:38.978505,9137.506070920923,R135664,False,22,4
T100295,S100295,U100005,2026-08-15 06:07:34.736313,17396.272490120162,R860153,True,6,5
T100296,S100296,U100005,2026-08-16 17:04:04.707330,21919.25600170302,R135664,False,17,6
T100297,S100297,U100005,2026-08-23 10:34:39.739584,2371.524092558337,R135664,False,10,6
T100298,S100298,U100005,2026-08-27 10:17:54.295166,8659.692823455978,R135664,False,10,3
T100299,S100299,U100005,2026-08-30 10:09:46.558032,8433.804386121674,R135664,False,10,6
