user_id,channel,account_age_days,history_status,cohort_age_band,cohort_txn_band,baseline_avg_amount,baseline_hour_mode,baseline_recipient_count
U100034,ussd,8,cold_start,new,medium,8952.61507881134,10,5
U100035,app,852,established,established,medium,18783.491156587243,14,4
U100036,ussd,480,established,established,small,2433.5740152738726,12,7
U100037,ussd,4,cold_start,new,small,2620.761553291399,12,2
U100038,ussd,705,established,established,medium,17610.72725909684,12,6
U100039,app,125,established,established,small,3118.3912293559542,17,2
U100040,ussd,478,established,established,small,1038.9373209037512,12,2
U100041,ussd,86,established,1-3mo,medium,7292.2300461434015,10,1
U100042,ussd,419,established,established,medium,22422.31292834014,21,3
U100043,app,266,established,established,medium,5707.208906261265,17,6
U100044,ussd,122,established,established,small,3582.714287723681,21,8
U100045,ussd,745,established,established,medium,7185.969612749572,14,8
U100046,ussd,496,established,established,small,3830.067184498341,21,5
U100047,ussd,307,established,established,small,1089.357969705308,10,2
U100048,ussd,570,established,established,medium,5541.480195938925,12,1
U100049,ussd,6,cold_start,new,small,2928.6696561154663,19,6
U100050,app,833,established,established,medium,7455.103487826435,14,2
U100051,ussd,223,established,established,medium,11479.250680947005,17,2
U100052,app,169,established,established,large,31028.639365310097,10,7
U100053,ussd,776,established,established,medium,8061.075270748028,9,2
U100054,ussd,283,established,established,small,2395.5632041462095,17,3
U100055,app,246,established,established,small,4255.33184686859,14,8
U100056,app,346,established,established,medium,10949.401242606986,19,3
U100057,app,11,cold_start,new,medium,8173.195491849459,19,4
U100058,ussd,579,established,established,medium,9920.611707157992,19,2
U100059,ussd,358,established,established,medium,7974.540832917548,17,2
U100060,app,676,established,established,medium,6508.470632181462,17,5
U100061,ussd,182,established,established,small,1371.5499638326144,17,3
U100062,app,4,cold_start,new,medium,16555.575218500235,12,1
U100063,ussd,498,established,established,small,2244.5390632877316,14,1
U100064,app,253,established,established,medium,15811.174554967307,17,2
U100065,app,6,cold_start,new,small,2850.0193260962287,12,3
U100066,app,397,established,established,small,1215.8667332902298,14,5
U100067,ussd,575,established,established,small,1483.7690824852098,19,2
U100068,app,686,established,established,medium,5923.399700985417,14,2
U100069,ussd,243,established,established,medium,6835.623202950181,10,2
U100070,app,479,established,established,medium,9537.989423735493,12,2
U100071,app,273,established,established,small,1162.3620201980964,21,3
U100072,app,728,established,established,medium,14302.411008296887,21,4
U100073,app,881,established,established,small,1946.3816058025104,9,5
U100074,ussd,716,established,established,small,2932.359643670791,17,3
U100075,app,316,established,established,medium,7884.401248687764,21,4
U100076,ussd,218,established,established,medium,14179.049964170577,12,8
U100077,app,652,established,established,small,1740.244729552018,14,3
U100078,app,421,established,established,small,2535.9490017982675,19,3
U100079,app,454,established,established,medium,29332.738096025743,9,3
U100080,app,9,cold_start,new,medium,12655.174105270444,9,5
U100081,ussd,893,established,established,small,500.0,9,6
U100082,ussd,733,established,established,small,2530.291114176364,10,3
U100083,app,487,established,established,small,2891.0175187219356,12,1
U100084,ussd,717,established,established,small,984.370081858259,21,1
U100085,ussd,623,established,established,small,4709.018246358916,17,4
U100086,ussd,805,established,established,medium,7815.04607589024,19,3
U100087,ussd,629,established,established,small,3741.066394398464,9,2
U100088,ussd,79,established,1-3mo,medium,7030.260421775083,19,2
U100089,ussd,520,established,established,small,2977.024719392861,9,4
U100090,ussd,4,cold_start,new,small,1960.3371933781557,9,3
U100091,app,4,cold_start,new,medium,11704.378495219631,21,4
U100092,ussd,118,established,established,medium,5286.333960210558,14,3
U100093,app,649,established,established,medium,5888.401884474646,21,8
U100094,ussd,182,established,established,medium,7496.056026461925,14,3
U100095,ussd,688,established,established,medium,5902.732654805157,19,12
U100096,app,682,established,established,medium,20194.749998215233,19,2
U100097,ussd,607,established,established,small,3011.8447282566945,17,2
U100098,ussd,166,established,established,small,1404.0457020595045,12,10
U100099,app,115,established,established,small,3799.2778340642853,17,6
U100100,ussd,176,established,established,medium,14498.849139563163,14,10
U100101,ussd,524,established,established,small,3981.6597664349506,21,2
U100102,ussd,310,established,established,medium,7253.413139441358,14,9
U100103,app,620,established,established,small,2515.778829553058,10,1
U100104,app,877,established,established,small,3986.704068399025,10,6
U100105,ussd,542,established,established,small,1580.158808219485,9,5
U100106,app,595,established,established,small,1379.904111519987,21,1
U100107,app,566,established,established,small,4746.296469876523,17,3
U100108,app,419,established,established,small,4178.321846276123,17,1
U100109,app,573,established,established,medium,7900.738998802036,10,7
U100110,ussd,442,established,established,medium,5883.118320803413,19,1
U100111,ussd,172,established,established,medium,12633.172090047501,10,4
U100112,ussd,362,established,established,small,2789.9884227899265,17,3
U100113,ussd,132,established,established,small,2386.437778085351,19,3
U100114,app,596,established,established,medium,8710.042384037431,12,5
U100115,app,134,established,established,medium,9282.061822189982,14,1
U100116,app,291,established,established,medium,5649.50257802502,10,5
U100117,app,146,established,established,small,1797.9868901454295,17,3
U100118,app,627,established,established,small,4946.250173580809,17,2
U100119,app,1,cold_start,new,small,1950.5406643642677,17,3
U100120,app,566,established,established,small,2945.8483725940114,9,2
U100121,app,659,established,established,medium,16363.481980669272,19,6
U100122,ussd,443,established,established,small,2672.774975595829,17,9
U100123,ussd,691,established,established,medium,9384.15597694839,12,2
U100124,ussd,852,established,established,large,54770.027368120944,12,5
U100125,ussd,256,established,established,small,4837.907814692454,17,5
U100126,ussd,857,established,established,small,1197.9211347707349,10,1
U100127,app,857,established,established,small,1253.1940699231614,10,2
U100128,ussd,725,established,established,small,2335.2612916362555,10,3
U100129,app,7,cold_start,new,small,4876.219680050609,10,2
U100130,app,773,established,established,small,2036.3850367597536,14,2
U100131,app,362,established,established,small,4493.015788569553,19,2
U100132,app,10,cold_start,new,small,2263.214760595234,12,2
U100133,app,527,established,established,medium,15143.457084855505,17,5
U100134,ussd,819,established,established,medium,6223.727748803637,9,8
U100135,ussd,436,established,established,medium,8851.047309236552,14,3
U100136,ussd,416,established,established,small,3465.037042156513,9,5
U100137,ussd,166,established,established,medium,7919.261822176319,17,2
U100138,ussd,629,established,established,small,948.4999182198012,12,1
U100139,app,110,established,established,medium,12889.670845189903,14,1
U100140,ussd,113,established,established,small,4869.355208771044,17,3
U100141,ussd,389,established,established,small,1897.7031033323512,17,3
U100142,app,4,cold_start,new,medium,5377.253876381172,17,2
U100143,app,734,established,established,small,3992.095541805071,19,3
U100144,ussd,809,established,established,small,1226.642578275034,14,1
U100145,ussd,124,established,established,medium,8771.181890835576,19,4
U100146,app,392,established,established,medium,11929.00988976058,12,1
U100147,ussd,6,cold_start,new,medium,13749.641494878879,9,2
U100148,app,642,established,established,small,4329.183887775957,17,1
U100149,app,494,established,established,small,4939.1146169596095,10,3
U100150,app,161,established,established,medium,11274.033223475519,17,3
U100151,app,108,established,established,medium,19678.245875194003,17,7
U100152,ussd,107,established,established,medium,12895.935404651993,12,3
U100153,app,872,established,established,small,4786.912793094889,12,3
U100154,ussd,12,cold_start,new,small,4730.9549612242445,9,5
U100155,app,492,established,established,medium,13381.85825031358,17,7
U100156,ussd,774,established,established,medium,28308.721327671577,10,4
U100157,ussd,385,established,established,medium,7514.278051932158,10,5
U100158,ussd,850,established,established,medium,22390.559997280892,14,3
U100159,ussd,415,established,established,small,1806.3479604177849,14,3
U100160,ussd,362,established,established,small,1776.7433752904049,12,5
U100161,ussd,642,established,established,medium,6139.954479385371,12,5
U100162,ussd,77,established,1-3mo,medium,14999.924965117441,14,3
U100163,ussd,514,established,established,small,2447.6692660311037,17,5
U100164,app,581,established,established,medium,15361.012158788804,14,4
U100165,app,781,established,established,small,4529.59241516982,10,6
U100166,app,473,established,established,medium,8276.574989217412,17,4
U100167,app,13,cold_start,new,medium,11627.417233716295,14,8
U100168,app,68,established,1-3mo,small,4079.8521712908773,17,3
U100169,app,6,cold_start,new,medium,8806.457492541234,19,1
U100170,ussd,13,cold_start,new,medium,16476.12202747808,19,1
U100171,app,221,established,established,small,4261.339593885286,14,2
U100172,ussd,446,established,established,small,1640.5401460460168,9,3
U100173,app,581,established,established,medium,11756.155931201305,9,6
U100174,ussd,114,established,established,small,4900.628035382563,12,3
U100175,app,694,established,established,medium,22684.36291643721,19,8
U100176,app,370,established,established,medium,11294.365380926543,12,3
U100177,app,463,established,established,medium,14249.147718009619,9,4
U100178,ussd,520,established,established,small,946.7763078229318,14,3
U100179,app,892,established,established,medium,6060.7788909546125,12,5
U100180,ussd,554,established,established,small,4589.595299981401,21,4
U100181,app,606,established,established,small,1470.0459471339218,9,1
U100182,ussd,813,established,established,medium,10997.628331471986,9,1
U100183,app,613,established,established,medium,5463.783942794786,14,4
U100184,ussd,742,established,established,small,1496.3535385973469,10,3
U100185,app,11,cold_start,new,small,1364.6333997242407,19,3
U100186,app,288,established,established,small,1392.774988175288,9,3
U100187,app,503,established,established,small,1044.4734453508352,14,2
U100188,app,663,established,established,small,1956.710150459712,10,4
U100189,app,666,established,established,small,1109.1402573503085,17,2
U100190,ussd,185,established,established,medium,5286.826905052366,9,4
U100191,app,414,established,established,small,2418.767190309535,17,5
U100192,app,348,established,established,small,2191.486525731684,12,10
U100193,ussd,6,cold_start,new,small,1917.6599345356979,9,3
U100194,app,313,established,established,medium,28718.782821218814,12,3
U100195,app,466,established,established,medium,12946.19915598196,19,3
U100196,ussd,66,established,1-3mo,small,3943.119907268013,14,2
U100197,ussd,668,established,established,small,1117.237807836948,21,2
U100198,ussd,345,established,established,small,2108.8545021353843,19,5
U100199,app,531,established,established,small,1231.452804701299,21,3
U100200,ussd,809,established,established,medium,9976.022683799121,21,1
U100201,app,244,established,established,small,1958.5917503647315,12,3
U100202,ussd,572,established,established,small,4234.714125249988,9,5
U100203,ussd,3,cold_start,new,small,2430.6319695674265,14,3
U100204,ussd,2,cold_start,new,small,3957.480082005574,17,3
U100205,app,470,established,established,small,4224.234156161713,10,3
U100206,app,1,cold_start,new,small,1928.7973128452197,17,6
U100207,ussd,276,established,established,medium,9429.543618428947,17,4
U100208,ussd,679,established,established,medium,21122.530067599793,14,3
U100209,ussd,291,established,established,small,1306.3032046937653,12,5
U100210,ussd,343,established,established,medium,10713.142025077968,12,4
U100211,ussd,814,established,established,small,1720.962086901672,12,3
U100212,app,8,cold_start,new,small,3025.005735636307,9,1
U100213,app,147,established,established,medium,8430.111614472375,19,10
U100214,app,217,established,established,medium,19647.259966634363,9,10
U100215,app,219,established,established,small,1698.1402666901972,10,5
U100216,app,420,established,established,medium,6695.842136659758,17,1
U100217,ussd,835,established,established,small,2488.6640567500585,17,3
U100218,ussd,108,established,established,small,1016.3730385353133,17,1
U100219,ussd,364,established,established,medium,5550.279649541095,21,3
U100220,app,740,established,established,medium,17022.22555866859,9,1
U100221,ussd,217,established,established,medium,5923.039781220178,19,5
U100222,ussd,620,established,established,small,2179.831823055117,17,3
U100223,ussd,96,established,established,small,1456.6192251048928,14,4
U100224,ussd,11,cold_start,new,small,2246.4729998945127,19,5
U100225,ussd,613,established,established,small,2388.3014668975766,17,1
U100226,ussd,3,cold_start,new,medium,14909.505586360841,21,4
U100227,app,808,established,established,small,1988.0100142760598,10,3
U100228,ussd,740,established,established,small,3301.6784771225234,19,2
U100229,app,9,cold_start,new,medium,7370.3503055335,17,6
U100230,app,413,established,established,small,4433.0755485153395,19,2
U100231,app,188,established,established,medium,10350.972402442098,10,2
U100232,ussd,693,established,established,small,3607.2899073786343,10,3
U100233,ussd,623,established,established,small,4084.0987425402886,19,4
U100234,ussd,6,cold_start,new,medium,6627.390858915203,9,2
U100235,app,751,established,established,small,3473.0736052054644,14,3
U100236,app,504,established,established,medium,10761.269792050849,12,3
U100237,ussd,10,cold_start,new,small,559.8947974265907,9,2
U100238,app,290,established,established,small,4242.877857736354,10,1
U100239,ussd,715,established,established,small,3187.0946972489664,17,1
U100240,app,615,established,established,small,4947.965108181608,19,3
U100241,ussd,453,established,established,small,1127.5822758295049,19,7
U100242,ussd,424,established,established,medium,14564.838758286576,9,5
U100243,ussd,593,established,established,small,594.3947402324155,17,3
U100244,app,858,established,established,medium,25949.398703547027,12,4
U100245,ussd,825,established,established,small,1393.9656498706222,19,3
U100246,ussd,508,established,established,medium,7314.150629091321,19,4
U100247,ussd,832,established,established,small,3818.010867820296,17,8
U100248,ussd,668,established,established,small,3383.505430854437,9,3
U100249,app,394,established,established,medium,8147.3489871849415,12,5
U100250,app,268,established,established,small,2378.810947585477,19,5
U100251,app,521,established,established,small,3055.506092108967,10,1
U100252,app,546,established,established,small,3891.0646883409654,9,2
U100253,ussd,768,established,established,medium,8980.21126367049,10,3
U100254,app,206,established,established,small,1691.000305764119,17,3
U100255,app,396,established,established,small,3905.5434851757823,14,3
U100256,app,11,cold_start,new,small,1425.1685436121563,14,2
U100257,app,13,cold_start,new,small,2042.8879176444093,19,8
U100258,app,251,established,established,small,4017.256011686958,19,3
U100259,ussd,724,established,established,small,893.3678899554408,21,2
U100260,app,215,established,established,small,4399.157567444352,17,3
U100261,ussd,66,established,1-3mo,large,35181.59146517041,14,4
U100262,app,477,established,established,small,2972.033237752538,19,9
U100263,app,594,established,established,small,4114.6961636941915,14,2
U100264,ussd,554,established,established,medium,5228.727727502624,12,1
U100265,app,67,established,1-3mo,small,3407.7991007485844,14,6
U100266,app,285,established,established,medium,9475.67910315999,14,3
U100267,ussd,893,established,established,medium,24725.590011610595,12,2
U100268,ussd,628,established,established,small,2466.7299706601343,19,4
U100269,ussd,7,cold_start,new,small,2686.7843468255487,14,2
U100270,app,531,established,established,medium,8587.092585633898,19,1
U100271,ussd,653,established,established,small,4086.9216029369463,9,5
U100272,ussd,717,established,established,small,3956.3931978757314,17,5
U100273,ussd,439,established,established,medium,12535.170457170812,14,13
U100274,app,411,established,established,small,3240.2304801894916,10,2
U100275,app,898,established,established,medium,6303.723513635567,21,3
U100276,app,655,established,established,medium,13531.03170730036,12,3
U100277,app,377,established,established,medium,8339.47823141552,19,3
U100278,ussd,477,established,established,small,3912.746478144856,12,3
U100279,app,210,established,established,medium,15397.334601394818,14,2
U100280,app,384,established,established,small,795.9225966787465,17,4
U100281,app,420,established,established,medium,6860.1341984525725,12,4
U100282,app,145,established,established,medium,13477.796365790427,14,8
U100283,app,891,established,established,small,4258.699700032543,9,2
U100284,app,838,established,established,small,4049.771180052582,14,6
U100285,app,789,established,established,medium,6298.1776527442635,17,3
U100286,ussd,252,established,established,small,1218.1244817297506,12,6
U100287,app,652,established,established,small,1716.1580988260187,9,6
U100288,ussd,605,established,established,medium,15498.535845296306,14,3
U100289,app,322,established,established,medium,19560.13506936457,12,5
U100290,app,11,cold_start,new,medium,7671.165359633586,10,4
U100291,app,257,established,established,medium,8446.853087823232,17,2
U100292,app,812,established,established,medium,10699.667737543934,17,7
U100293,app,234,established,established,medium,7748.90912211034,9,2
U100294,app,589,established,established,small,4386.5033706614695,21,5
U100295,ussd,852,established,established,medium,12690.484962012257,21,1
U100296,app,179,established,established,small,2520.53501395855,12,8
U100297,app,868,established,established,medium,6363.591278974578,9,4
U100298,ussd,244,established,established,small,3507.751462908092,9,5
U100299,app,860,established,established,medium,6101.8662149794745,21,5
U100300,app,773,established,established,medium,25730.645942485804,12,2
U100301,app,3,cold_start,new,small,3925.432419143357,12,3
U100302,app,668,established,established,medium,29367.3329799413,12,5
U100303,app,458,established,established,small,2851.2820388747155,21,2
U100304,ussd,889,established,established,medium,7926.583284502185,19,5
U100305,ussd,365,established,established,medium,13581.051943505536,10,1
U100306,ussd,645,established,established,medium,5780.89024874152,21,6
U100307,app,804,established,established,small,2131.8231566386075,12,5
U100308,app,545,established,established,medium,5828.514926591875,10,2
U100309,app,395,established,established,large,39664.320619433,17,2
U100310,app,211,established,established,small,1672.8343162016822,19,3
U100311,app,734,established,established,small,1836.4116273939271,19,1
U100312,app,738,established,established,small,4643.48268613278,17,8
U100313,app,3,cold_start,new,medium,6802.12731974672,14,4
U100314,app,704,established,established,medium,6726.752416748863,19,5
U100315,app,281,established,established,small,1477.725373332006,21,3
U100316,ussd,524,established,established,medium,12333.722983239524,19,3
U100317,app,11,cold_start,new,small,1048.5608011359257,10,3
U100318,ussd,792,established,established,small,1937.2590199222823,10,3
U100319,app,128,established,established,small,1574.982106337534,12,3
U100320,ussd,814,established,established,small,4316.841434127054,21,10
U100321,app,630,established,established,medium,9280.065181105361,17,2
U100322,app,10,cold_start,new,small,2896.6035250051364,17,2
U100323,app,856,established,established,small,3111.384822097678,19,4
U100324,app,191,established,established,small,2344.730590709144,17,2
U100325,ussd,261,established,established,medium,12547.391909087628,12,3
U100326,app,301,established,established,medium,8832.025665765163,12,4
U100327,app,816,established,established,large,31109.7583132139,21,5
U100328,ussd,131,established,established,small,4047.8844052552163,10,1
U100329,app,716,established,established,medium,7248.754261357304,14,2
U100330,ussd,136,established,established,small,3977.472182340209,17,1
U100331,ussd,490,established,established,small,4478.626674685718,10,11
U100332,app,10,cold_start,new,small,2391.4900320023385,10,5
U100333,app,2,cold_start,new,small,3511.325225016175,9,8
U100334,app,486,established,established,medium,11715.878835256155,17,4
U100335,ussd,328,established,established,small,3389.4916270876406,14,3
U100336,app,5,cold_start,new,medium,5302.070937508182,17,3
U100337,app,805,established,established,large,38054.191970973436,17,4
U100338,app,3,cold_start,new,small,859.5022104343764,10,5
U100339,ussd,126,established,established,medium,5119.261492544372,12,3
U100340,ussd,372,established,established,medium,21241.288386070286,9,5
U100341,ussd,626,established,established,small,589.9065774473379,9,7
U100342,ussd,695,established,established,medium,8599.122955972869,9,3
U100343,ussd,750,established,established,medium,26553.364263327283,10,4
U100344,app,633,established,established,medium,7983.402822242275,10,8
U100345,ussd,797,established,established,medium,8994.329261253033,10,2
U100346,ussd,5,cold_start,new,medium,7160.25509178102,21,2
U100347,app,112,established,established,medium,5049.870742142422,12,6
U100348,ussd,703,established,established,small,3258.450050752964,21,2
U100349,ussd,251,established,established,medium,8296.445696399545,14,13
U100350,app,889,established,established,medium,6089.861319805897,17,3
U100351,app,69,established,1-3mo,small,1390.714654924326,17,3
U100352,app,246,established,established,medium,9769.086673876376,10,4
U100353,ussd,218,established,established,medium,7094.038804488644,9,2
U100354,app,867,established,established,small,3454.244483015973,12,7
U100355,ussd,486,established,established,medium,7471.585798708108,12,3
U100356,app,493,established,established,small,2552.3720071353314,21,2
U100357,ussd,94,established,established,small,3024.7807808926673,14,4
U100358,app,150,established,established,small,4299.004951647932,12,3
U100359,ussd,204,established,established,medium,9978.379844116705,10,5
U100360,app,112,established,established,medium,7846.504132919723,17,2
U100361,app,357,established,established,small,2562.969318853051,10,4
U100362,app,201,established,established,small,1105.4622404362262,17,3
U100363,app,631,established,established,small,3811.033280831667,21,4
U100364,app,843,established,established,small,2485.3051938110593,12,3
U100365,ussd,106,established,established,small,3110.202922291292,21,1
U100366,ussd,379,established,established,large,35957.11713925537,9,3
U100367,ussd,304,established,established,small,3946.046687510487,9,4
U100368,ussd,89,established,1-3mo,medium,6595.656287089118,14,1
U100369,app,260,established,established,medium,17660.998086130672,12,3
U100370,ussd,296,established,established,small,4516.534813814997,17,2
U100371,ussd,335,established,established,small,1743.799183099047,10,2
U100372,app,814,established,established,small,3420.755313803677,17,3
U100373,ussd,676,established,established,small,1739.920381723556,19,4
U100374,app,379,established,established,medium,8719.994535675376,19,3
U100375,ussd,380,established,established,small,2138.500651370581,12,3
U100376,ussd,69,established,1-3mo,medium,6510.268367427123,9,3
U100377,ussd,883,established,established,small,636.6360844921561,14,3
U100378,app,728,established,established,medium,5598.602782407694,12,1
U100379,ussd,754,established,established,small,705.4208689126178,17,2
U100380,app,283,established,established,medium,13864.172069660075,10,6
U100381,ussd,79,established,1-3mo,small,3116.2748367548106,19,4
U100382,app,545,established,established,small,1059.573109683475,9,1
U100383,ussd,479,established,established,medium,11016.449198685328,19,2
U100384,ussd,721,established,established,medium,6620.444239360502,12,3
U100385,app,425,established,established,small,1797.8247854599294,17,4
U100386,app,867,established,established,small,1671.5769351738504,14,6
U100387,ussd,194,established,established,medium,16600.786278259682,19,1
U100388,app,499,established,established,small,2972.1540247021994,12,5
U100389,app,887,established,established,small,4372.782517863126,19,1
U100390,app,887,established,established,small,1604.836990274257,14,8
U100391,app,290,established,established,medium,9431.801577601647,9,5
U100392,ussd,894,established,established,small,4073.5123916843622,12,2
U100393,ussd,240,established,established,medium,6558.73648548389,19,3
U100394,app,557,established,established,small,2088.308721130221,12,2
U100395,app,626,established,established,small,1642.9863867939687,21,2
U100396,app,3,cold_start,new,small,3981.845272370669,14,3
U100397,app,298,established,established,small,1506.3846234151954,9,3
U100398,ussd,368,established,established,medium,18919.898735027404,12,4
U100399,app,503,established,established,medium,14087.7920791638,17,5
U100400,ussd,895,established,established,medium,6021.1869431383375,12,4
U100401,ussd,532,established,established,small,4433.434532096081,14,4
U100402,ussd,241,established,established,medium,5300.179214685448,12,4
U100403,ussd,346,established,established,small,2312.816056212546,12,8
U100404,app,227,established,established,small,2223.8517080661913,19,2
U100405,app,592,established,established,medium,13831.908395226383,14,6
U100406,app,127,established,established,small,624.4859072371925,9,7
U100407,ussd,320,established,established,large,31895.287139017084,9,2
U100408,ussd,692,established,established,medium,17538.024222388933,17,2
U100409,app,212,established,established,small,1219.0685739069029,9,2
U100410,app,117,established,established,small,3240.8367786394583,21,3
U100411,app,192,established,established,medium,6326.822341028253,19,14
U100412,ussd,351,established,established,medium,7726.257825955261,14,4
U100413,ussd,68,established,1-3mo,small,4423.854095333728,10,3
U100414,ussd,469,established,established,medium,6906.159806835583,9,9
U100415,ussd,419,established,established,small,4495.42600644087,17,2
U100416,app,709,established,established,small,4870.621048045022,17,5
U100417,ussd,471,established,established,small,3172.1131564801663,19,4
U100418,ussd,655,established,established,medium,5364.992985741141,10,2
U100419,app,869,established,established,medium,16112.937242482365,14,4
U100420,ussd,114,established,established,medium,18265.24152586422,19,3
U100421,app,620,established,established,small,3275.2316093431714,10,2
U100422,ussd,8,cold_start,new,small,1699.5051028878715,14,4
U100423,ussd,13,cold_start,new,medium,7368.814411467518,14,13
U100424,ussd,218,established,established,medium,23799.92237679279,10,4
U100425,ussd,506,established,established,medium,14403.452568846978,17,4
U100426,app,247,established,established,medium,11827.11885722018,9,3
U100427,ussd,212,established,established,small,1387.495631985638,17,2
U100428,ussd,557,established,established,small,3763.224362706557,21,2
U100429,ussd,167,established,established,small,3333.686640591085,10,1
U100430,ussd,11,cold_start,new,medium,15044.68041410355,14,2
U100431,app,295,established,established,small,915.8781749171762,19,3
U100432,ussd,810,established,established,small,4385.166665400801,21,5
U100433,ussd,885,established,established,small,1904.3402078269512,19,3
U100434,app,353,established,established,medium,7852.36529164573,19,2
U100435,app,762,established,established,medium,5779.754573456627,21,2
U100436,ussd,513,established,established,small,1459.789186728241,10,3
U100437,ussd,422,established,established,medium,10230.877805509985,14,7
U100438,ussd,695,established,established,small,2292.4736202542017,14,4
U100439,app,854,established,established,small,2960.79195580386,14,9
U100440,ussd,210,established,established,medium,8972.59140698232,10,4
U100441,app,256,established,established,medium,9115.695922220346,12,1
U100442,ussd,218,established,established,small,3532.1725174724197,10,1
U100443,app,364,established,established,small,3021.2836214837116,12,9
U100444,ussd,892,established,established,small,500.0,21,3
U100445,ussd,862,established,established,small,2884.1997356596153,12,6
U100446,ussd,353,established,established,medium,10028.246289432642,9,4
U100447,ussd,819,established,established,medium,5846.455271770327,10,3
U100448,app,188,established,established,small,4535.489464615078,14,2
U100449,ussd,524,established,established,small,3007.9005674294895,10,2
U100450,ussd,567,established,established,small,2424.6741484726385,14,3
U100451,app,428,established,established,small,1765.592190745226,21,3
U100452,ussd,157,established,established,medium,8804.790310151375,12,2
U100453,ussd,859,established,established,small,2255.9400296227745,10,1
U100454,ussd,875,established,established,medium,9887.553375468407,21,3
U100455,ussd,237,established,established,small,2731.4552699660394,21,4
U100456,app,188,established,established,small,4929.9015418378385,10,3
U100457,ussd,476,established,established,small,2021.854209237336,19,2
U100458,app,400,established,established,medium,16462.074507640165,17,2
U100459,app,146,established,established,medium,10480.532251276343,14,1
U100460,app,200,established,established,small,4455.223673422302,17,4
U100461,app,432,established,established,medium,18150.050728747236,12,2
U100462,app,129,established,established,small,2531.188578846205,12,2
U100463,ussd,410,established,established,medium,11936.908061074306,19,3
U100464,app,855,established,established,medium,10977.5504071404,12,3
U100465,app,435,established,established,medium,7447.11527092178,14,8
U100466,app,160,established,established,medium,5100.571487121897,10,1
U100467,ussd,119,established,established,medium,13055.580448315834,12,2
U100468,app,274,established,established,medium,13314.025310375737,12,2
U100469,app,806,established,established,medium,13270.754773018525,19,6
U100470,ussd,178,established,established,small,976.7729099869836,17,3
U100471,app,297,established,established,medium,6119.504406150588,10,3
U100472,ussd,348,established,established,small,2185.8827267644306,14,4
U100473,app,335,established,established,small,3360.50386559552,17,5
U100474,app,419,established,established,small,3240.082655950239,19,4
U100475,app,459,established,established,medium,5201.842174472981,19,7
U100476,ussd,733,established,established,small,4144.500687749051,10,1
U100477,app,525,established,established,medium,5654.701277572546,19,1
U100478,ussd,504,established,established,medium,6651.976400710438,12,4
U100479,app,698,established,established,medium,7204.035804080544,17,3
U100480,ussd,701,established,established,small,989.6219724187796,10,7
U100481,app,99,established,established,small,1814.3893604320626,12,3
U100482,app,434,established,established,medium,6338.471380647705,17,5
U100483,app,291,established,established,small,1409.5443772776182,19,2
U100484,ussd,523,established,established,medium,5042.330787482037,17,3
U100485,app,6,cold_start,new,medium,6824.376247462448,14,3
U100486,ussd,13,cold_start,new,medium,12837.689777291675,17,5
U100487,ussd,525,established,established,medium,11061.464987334613,19,4
U100488,ussd,12,cold_start,new,medium,15082.716491669114,12,4
U100489,app,679,established,established,small,4669.128848866679,17,4
U100490,ussd,133,established,established,medium,5414.4193762135665,19,8
U100491,ussd,854,established,established,small,3865.0589239330616,21,2
U100492,ussd,794,established,established,medium,13519.862038052395,10,2
